Startup_Description,category,category_needed
 Our company provides renewable energy solutions for our clients based in Assam Bihar West Bengal and Odisha We have tie ups with well known branded solar equipment suppliers We are involved in installation and maintenance of these systems We also have a general partnership firm which is into IT services and have established clients since 10 years We have received projects from these existing clients to setup photovoltaic plants with maintenance contracts for up to 25 years Orders to set up systems with capacity of 1 MW is in pipeline distributed across different clients from education manufacturing and other industries We are seeking funds to start our first installation of a 500 KW PV system for a renowned university in Kolkata We would be charging a maintenance fee on unit consumption basis once this system is completely setup ,11,Sustainable Energy
 We are a home and building automation integrator that is based in Bangalore having a branch in Trivandrum Have worked with over 20 reputed clients in South India such as GCorp Nitesh SFS Sobha Company has partnered with 810 MNCs to provide the components for home automation systems Provide home automation services for apartments hotels offices malls and warehouses We have a committed pipeline in excess of INR 2 Crores for the next 2 years Promoters are technocrats who have worked at senior levels in multi national companies with 25 years of experience each We are developing new product s in the IoT domain ,4,others
 Property was established 15 years ago on a leased industrial land while the industrial land was acquired a year later of which 3 000 square meters have an eaves height of 13 8 meters including a 20 5 bridge crane warehouse Since its completion it has been providing logistics services to GE Wind Energy The remaining 18 000 square meters of 1 3 meter high platform warehouse provides warehousing services for more than ten companies in China s famous express delivery kitchen supplies and logistics sectors Our geographical position is unique only 600 meters from the national highway and 2 kilometers from the city center The sponsor has more than 30 years of relevant industry experience The facility is in full warehouse operations at the moment It is owned by a logistics company based in Shenyang ,3,others
 Company was established in 2013 and has been generating decent revenue since then We are an engineering company that builds power plants solar wind power and provide other services Currently working on the construction of 3 plants and 4 more contracts are in the pipeline Have executed several successful contracts in the area Needs investment to purchase equipment and hire more employees for upcoming projects The business is completely liabilitiesfree ,0,Sustainable Energy
 Mumbaibased company with multiple inhouse developed software for video and data analytics solutions Have clients across verticals such as retail manufacturing consulting and more Solutions are applicable for verticals like healthcare realty retail energy utilities manufacturing banking and financial institutions education hospitality and mining Also applicable for large infrastructure projects like ports airports railways public places parks warehouses commercial centers asset management companies and more Received the Leaders of Tomorrow award from ET India Serving 510 big clients with over 1 000 locations We work with the existing CCTV network and integrate our solutions hence the Capex involved is low Have pretrained models using more than 1 million images enabling faster deployments globally Company has 2 directors with a 50 50 share split This is a completely bootstrapped company Revenue is through installation and subscription licensing which is a recurring service fee We have partnerships with many OEMs We have onpremise hybrid and cloud AWS Azure Oracle options for our solutions Business is built by founders who come with rich experience between 2025yrs after working in many tier 1 companies in India and abroad Selling model is also enabled through channel partners based out of different geographies Healthy pipeline for good growth Company has no liabilities or loans ,7,others
 More than 80 consistent regular clients Majority of them are Central Govt Departments R D Institutes PSUs Corporate Software companies HAL BEML BEL ISRO NCBS IISc CFTRI DRDO Labs Dept of Atomic Energy Uranium Corporation of India NEFT NAAC Yokogawa Larsen Tubro Etc are our valued regular consistent Customers We have qualified experienced trained engineers whose skills are updated frequently so that we provide latest IT Products solutions We render educative presales prompt after sales services After investment our business can scale up by 30 to 40 year on year We have many large project order to our credit which are executed successfully Good experience in project implementation Tie up with industry giants like HP Cisco TE Connectivity AMP Semantics Etc ,2,others
 Started commercial operations from 2018 Solar PV panels manufacturer supplying to 15 EPC contractors dealers and direct customers Our clients are based all across India Some of our clients include Greenko Freyr Energy and Novus Green Customize the modules according to the client s requirements We have yearly contracts with our clients and monthly subscription fees Raw materials are directly imported from 50 suppliers located in China and Korea Our factory produces 60 MW yearly and is currently working with 40 of its capacity We are making 10Wp to 320Wp solar modules and power plant plantations All our work that includes fabrication storage assembling and packaging work is done inhouse Our current team has 45 people in our manufacturing unit and 18 people in our sales team Clients are mostly acquired through our own references and directly approaching companies Also intend to manufacture solar cells which has great potential in the market Seeking funding in order to take up a governmental project that has a requirement of 500 Mw We are in conversation with a few references regarding the project A tender needs to be filed for that and the investor will have to pay the earnest money deposit Collateral can be provided in order to safeguard the investors money Run rate sales have dropped due to the lockdown during the pandemic ,11,Sustainable Energy
 We are a maintenance and property management company providing end to end services for corporates Provide general maintenance of floors doors as well as electrical plumbing and carpentry services Additionally we help with installation and maintenance of security systems installations and maintenance of energy and data communication systems Clients include numerous large companies such as Kai Motors Sheraton Hotel Banco Internacional and Jasa Evolution Have secured a contract to continue with Banco Internacional for 2019 which will provide future revenues ,7,others
 Manufacturing company in Dhaka that started operations in 2017 We manufacture solar and electronic products Company has more than 15 trusted vendors from whom we procure raw materials We produce 8 00010 000 units per month Have more than 5 clients among them 2 3 are most renowned company in Bangladesh like Super Star Renewable Energy Ltd Rahimafrooz Our assets include license client database vendor list machinery and stock Promoter has more than 3 years of experience in this business ,5,Tech
 We provide IT services like Graphic design Web application and Broad band connection We also trade in products like Electronic devices Computer accessories and renewable energy related products Have served 100 clients and our clientele includes names like Starlit Dhaka Grand We also have our contracts with Navy Army and Air force whom we supply IT products Promoter has a business experience of 10 years ,2,others
 The importance of having top quality and professional development services cannot be overemphasized which is our focus We are is a highly innovative and technologically experienced company that provides consulting services and solutions in business strategy and project management The company clearly understands the market needs of its clients and their culture as such is shaped to provide the right product and services to aid their advancement technologically and otherwise Our experience in the field of management consulting and providing IT solutions led to the development of the P2C system an app that provides one of the easiest most comprehensive and advanced solutions for managing strategy projects and tasks This development not only strengthened our ground in the field of management consulting but highlighted our determination to provide customer satisfaction in a technologically innovative manner The company intends to provide professional services in the most effective manner with an aim to provide 100 client satisfaction In our new strategy we offer all our comprehensive services based on P2C solution basedcloud system for both government and private sectors from all industries including finance education healthcare logistics food beverage retail shops technology energy hospitality telecommunications transportation oil gas and construction maintenance Our aim is to provide the best management consulting services with business automation solutions using our latest and advanced technology Achieved contracts executed 27 enterprise contracts and achieved revenue 13 million SAR 3 Million usd We own 3 cloud products web apps and 2 trademarks Our achievements 5 contracts with a total amount of 4 8 million SAR More than 11 open hot sales pipelines with the enterprise government sector Ministry VRO Government authorities and medical cities clusters We successfully published a released enterprise version for SOCPA Saudi Organization of Certified Public Accountants and we started a support contract period We signed a fiveyear strategic partnership agreement with the Association of Projects aimed to publish the Daeim platform exclusively by P2C system which targets more than 2500 Saudi nonprofit organizations The Saudi Vision 2030 targets 10 000 nonprofit organizations by 2030 Due to our promotions and marketing initiatives we are experiencing a high growth rate ,7,others
 Kolkata based startup company developing a onestopshop mobile app to sell various products and services All the services will be provided by 3rd party vendors through our platform Some electronic items will also be listed by other vendors and we will be selling smart home products We already have another business selling smart home products in the retail market and now developing the app to provide cab grocery food and appliance repair services including budgetfriendly home automation and Indian made electronic appliances sell We are new to this online sales however confident and excited about selling makeinIndia products with energyefficient CNG EV cab services to serve our environment The mobile app will be ready in 510 days and we will launch it on Android and iOS stores The mobile app is being developed inhouse Already in talks with numerous vendors to sell their products and services on our platform We will charge a small commission from the vendors and we will sell our products at a higher margin to generate revenue ,5,Tech
 We are building equipment contractors who provide various services like plumbing heating and airconditioning Repair services to buildings and dwellings The company is ISO 9001 14001 RUC NADCA IKECA NAFA certified Experienced group of engineers and technicians capable of mechanical electrical controls Revit drawing and HVAC design duct cleaning and all the complex activities as TAB involving HVAC services and energy optimization We have around 50 clients and we complete up to 20 projects per year Duration is about 4 to 8 months per project and value is typically between USD 50 000 to USD 1 million per project ,4,others
 We are a startup company with permit to produce biodiesel we have a letter of intent for 91 900 barrels year However we are yet to produce our first barrel Working in connection with a production company as our partners guaranteed offtake agreements after production of the first barrel We have qualified for over two hundred grants totalling in excess of USD 1 5 billion dollars These grants are issued by state and federal government for predominantly renewable energy generation some are for soil remediation and others are based around decentralized infrastructure Our target market involves wholesalers we are currently amidst our first sample run for a company from New Mexico We focus on business planning and expansion strategies while our partner handles operations The production capacity is more than 515 000 barrels year Our goal for first two quarters is to produce 91 900 barrels 5 million gallons ,6,Sustainable Energy
 The company was born in 2003 with one purpose in mind to bring quality electronics solutions to its Portuguese partners This is achieved every day with the cooperation of a network of partners who help to maintain the key element in the field of Import and distribution of consumer electronics and many other areas In its evolutionary logic the company developed a website that incorporates the most modern eCommerce practices being 100 responsive unique construction for desktop laptop tablet and smartphone The company has headquartered in the Lisbon district benefiting from an area of more than 23 000 m2 which includes offices warehouses and a showroom The strategic geographic position helps cover the entire country The dedicated technical administrative commercial and logistical teams allow you to take full advantage of it Company has a logistical system that is perfectly adapted to a high flow of inflows and outflows Products maintaining a solid stock that is capable of responding to large volumes of orders and Rapid response to customer demand in order to guarantee delivery within 24 hours of the order submission It has excellent storage conditions ensuring the necessary conditions for packaging Loading and unloading with maximum security and monitoring of all stored products ,4,others
 Company was established in 2016 and provides SAP solutions and mobile and web app development We have global presence namely in the Middle East North America Malaysia Thailand and Indonesia We are fast growing technology company involved in development of IoT and software products Have a stable client base in Saudi Arabia Some of our clients are Al Muhaidib Shar Segi Fresh Almaktaba Al Raya Hcc Masdar Have developed more than 10 software products till date Promoter has more than 10 years of experience in this industry ,2,others
 We provide water and waste water treatment plant setup at client s location It takes 8 months to complete one full setup Our clients are primarily from textile and pharma industries Have tie ups with 10 clients Generating leads through referral marketing Revenue has dropped due to a slowdown in the general business environment However our margins have continued to grow Promoter has 10 years of industry experience ,4,others
 Bangalore based industrial automation company serving clients across the globe looking to raise funds with a dilution of 2025 stake We are in the business of Turnkey Solutions for total factory automation on Material Handling Robotic Gantry Conveyors Carousel etc Semi Automatic Solutions Light Crane Systems Jib Cranes Electric Chain Hoists Manipulators etc Robotic Solutions for Welding MIG TIG CO2 Pick Place Machine Tending Palletising Painting Thermal Coating etc Assembly Testing Automation Solutions catering to all Special Purpose application requirements System Integration including Retrofittment reconditioning of CNC Automated machines Company is focused into Sales Service of semi automated equipments of Material Handling Solutions as exclusive value added partners for ERIKKILA OY a 100 year old company from Finland pioneers in Light Crane System or popularly known as Mono Rail Systems Jib Cranes Electric Chain Hoists Robotic Cranes etc We are value added partners as all critical components come from Finland while the non critical components are fabricated by us the total solution goes from us in India Company is a value added partner for ERGOLIFT a 37 year old company from Sweden for Manipulators Balancers hydraulic pneumatic with special end of arm tooling s for specific application requirements Company has provided various Welding Solutions to Ms Automotive Axles Ltd TVS Motor Company TATA Hitachi Ancilliaries TOYOTA Ancilliary etc Material Handling Solutions to both Fully Automated Semi Automated Solutions to Ms Caterpillar TOYOTA TOYO DENKI Power Systems Deccan Pumps etc Robotics Tending Welding Thermal Coating etc Gantry Loaders Testing Machine Special fixtures Poka Yoke variety of CNC Machine overhauling VMC s Grinders SPM s Gear Shaving Deep hole drilling Welding etc to various customers across India like TOYOTA Ancillaries ITC Ltd Automotive Axles Ltd TVS Motor Company BOSCH L T Komatsu TAFE etc We have high ethical business practices promoters with high morals wish to inform that the investors would cherish the association with high energy positive focus of the team would feel encouraged to invest as the Manufacturing Automation in India presently is just tip of the iceberg with a long way to go in terms of investment growth Hence business potential is huge can be tapped for long years with right contacts importantly a good executing team ,4,others
 We are one of the top modular construction companies in the UAE Business has developed a strong clientele over its 17 years of operation Client base includes construction energy and oil gas companies Cater to both commercial and residential clients including schools and hospitals We generally take up around 20 to 25 large projects on a yearly basis The number of projects that we take up a year increases based on the whether we take on smaller projects We have worked with clients across the Middle East South America and Africa Work in association with the clients in other countries to construct their buildings after we ship the materials to their country Company does all the fabrication and construction of material inhouse based on the project undertaken In the future we are looking to provide up to 30 stories of vertical construction Promoter has over 10 years of experience in the field of modular buildings and construction Company s physical assets include building machinery and office set up ,3,others
 We are providers of telecom infrastructure services to telecom operators in India Some of our services include providing backup power supply solutions for telecom towers telecom shelter installation and manufacture of security and cooling systems for telecom towers Our company is one of the few players in this industry and so the competition is very low We provide our services in 9 states in north India to the top telecom operators like Airtel and Vodafone Idea In the last two years we have manufactured and sold over INR 2 crore worth of cooling and security products to these operators For our backup power supply solutions we generally have yearly contracts for maintenance with our clients once the solutions have been provided We procure the products and solutions from major companies like Delta Exicom and Vertiv Promoter has over 18 years of experience in the field of telecom infrastructure Company s physical office includes owned manufacturing plant and corporate office ,7,others
 We are electrical contractors that have executed multiple EHV and substation projects till date We are authorized by the Central Public Works Department CPWD This is the primary vertical of the business as it generates most of the business revenue We have over 15 20 contracts currently out of which 2 3 are maintenance contracts Over 60 of our clients are public sector and 40 is private Contracts are renewed on a monthly basis We have completed over 300 projects till date Our major clients include Adani Power Reliance Power Tata Power Maharashtra State Electricity Distribution Company Limited MSEDCL Power Grid Corporation of India and Bihar State Electricity Board Substation Additionally we are also involved in solar projects EPC To that extent we have installed over 550 KW till date This is the second biggest vertical of the business We are also involved in the operations and maintenance of a 3 MW plant Have a standing contract for profit sharing with the plant owner The business has over 40 45 primary vendors Additionally we are developing an inhouse home service application We have developed an algorithm that provides home services at affordable rates 45 cost reduction to the customer It took two years of industrial research and study to develop these algorithms Home services provided include electrical and plumbing services Our applications targeted audience is modern day couples aged between 24 48 years old And the working millennial of India We plan on following a SaaS model primarily postlaunch ,0,Sustainable Energy
 Our company engages in solar EPC projects and also is a distributor of batteries We install solar roof top systems of 200 KW and above with PPA agreements The solar systems are operated by us and we mainly focus on the UP area We have done more than 30 projects with corporate and residential clients Company is also the distributor of Exide batteries and we cover almost the entire UP region We will soon start sale of our own brand of batteries which will be imported from Bangladesh Around 70 of the company revenue is from our battery distribution and the remaining comes from our solar EPC projects Promoter has been working in the field of batteries and solar energy since 2003 ,11,Sustainable Energy
 We have a history of over 20 years beginning from real estate development and having expanded our operations to include tourism hospitality food beverage energy environment and education We have operations and projects in 9 countries Our other core businesses include international trade manufacturing and healthcare Our focus is to grow our digital lifestyle business by consolidating the fragmented market within our industry and introduce hitech to lowtech business to improve their competitiveness and profitability Have over 40 hotels under management and a hotel management academy is also in place that includes over 100 000 hours of online training videos We have a patented and patentpending technology for a digital platform to connect hospitality venues and manufacturers of lifestyle products and services It is under development and will be deployed in 3 months after funding To simplify it is a digital membership platform connecting its smart consumers with quality producers The target market is middle class consumers between 30 and 55 years seeking lifestyle solutions Buyers are members that are visitors to corporate host accommodation and hotel owners signed up on the lifestyle platform Sellers are corporate host and approved manufacturers who sell their product and services Marketing and promotion services are also offered to qualified manufacturers who want to reach lifestyle consumers who basically are our lifestyle members as well as corporate members Accommodation and hotel venue participants pay a minimal membership fee in order to receive commission from guest members consumptions included they get brand services improvement assistance and the development of a try touch showroom The platform will start operations in southern province of Guangdong in China to be followed by a national expansion over the next 2 years Letter of interest and an list of over 500 interested accommodation participants is already in place We are now looking for interested investors participants and partners in Thailand and South East Asia The platform would generate revenue through eCommerce transactions showroom activities and providing marketing services to the approved product manufacturers as well as to corporate members We have a huge growth rate and high valuation because last quarter there has been an increase in F B liquor and accommodation transactions from the restart after Covid19 and holidays The occupancy of hotels also increased to above average Although not our future focus our trading joint venture also had a major uptick in business this year It is believed this trend may continue through this year However the real growth will be when more hospitality venues and the focal growth is in the digital platform We will be discussing more information with interest parties under a NDA ,8,others
 Biofuel trade is the one of most popular highly demanded and most generous categories of the oil and energy industry not only in India but across the globe We are the only company in the central Indian region having a NOC for the establishment of biofuel retail outlets across India issued by the Ministry of Petroleum and Natural Gas GoI last year Our company has 43 active franchisee partners retail outlets owners having a valid letter of intent issued from the company in pursuance of the gazette notification issued by MoPNG Have our own trademarked brand and the overall capacity of our refineries for the production of biofuel is 540 KLD We charge a brand fee of INR 2 50 000 upon issuance of a letter of intent to franchisees and our main income comes from the sale of oil biofuel to our retail outlets and bulk consumers Last year due to the pandemic our business was under extreme stress as most of our refinery associates and our retail outlet partners were affected by the Covid19 situation Our sales started blooming once we obtained the operational clearance NOC for the establishment of biofuel retail outlets After the Covid19 pandemic we have strengthened our marketing approach and issued more than 10 letters of intent and hence there is a rapid growth in income Have a biodiesel refinery under joint venture located in Tonk Rajasthan of 25 000 square feet area We also have a biodiesel refinery in Sri Ganganagar Rajasthan with an area of 57 000 square feet area and a 45 000 square feet refinery in Bareilly owned by our associates The oil refinery is not a part of our business but comes under another entity which is part of a JV We have 2 new associate refineries under construction both in Uttar Pradesh Our promoter has sound knowledge and experience at the executive level at the government level and also has direct contacts at the political and executive levels in India He has more than 5 years of experience in this field and is also operating an aviation company listed with the State Government of Madhya Pradesh engaged in VVIP flying The company has a wide spectrum of professional and social connections and trade relations with industrialists startups and young entrepreneurs across the nation involved in various fields of trade and industries Company is debt free and owned by three partners in 50 25 25 partnership We believe that explanatory and iconic work does not need promoted recognition but society recognizes them by their outstanding performance and work and achievements ,6,Sustainable Energy
 Aviation services training centre in Panjim Goa The business has invested in all the fixtures and the training centre is in a leased location Business is not operating at the moment Hence no sales Total area is 75 sq meters area and the area is rented Training centre has a student counseling area manager s cabin pantry area and an attached washroom Airplane recreated model to impart quality training 2 new Daikin energysaving ACs and 1 fixed parking alloted The training center is part of a franchise The buyer may or may not continue with the same franchisor Buyer gets all the fixtures and fittings required to operate a training center The buyer will have to renegotiate with the landlord and franchisor Debtfree sole proprietorship firm ,9,others
 We are a PUF panel manufacturer and provide energyefficient infrastructure solutions Our business has both B2B and B2C operations 90 of our operations are B2B and we supply our products directly to the project site We also have some turnkey projects where we help our customers with installation All of our products are made to order and we have a daily manufacturing capacity of 1 000 sqm of material The company has three directors with a 51 39 and 10 stake in the company Business does not have any outstanding liabilities ,1,Sustainable Energy
 Zero Petro Industry offers sales partner opportunities in India for biodiesel pumps We are a startup that seeks to provide wholesale biodiesel Biodiesel is a newage fuel that can be used by existing diesel vehicles Come be a part of our journey to enhance India s energy security Our venture enjoys the backing of the Govt of India which seeks to encourage biodiesel consumption We are on track to establish 500 pumps across India in the coming months ,6,Sustainable Energy
 Company that has started work on a realestate residential project in Alibag which is a beachy holiday destination and is often called the mini Goa of Maharashtra Seeking to sell a building with a saleable area of 11 400 square feet It is an NA collector sanctioned 4 floor building with 24 studios having an approximate area of 475 square feet each All the groundwork has been laid out and the investor can start construction immediately Over 15 of the construction work has been completed The plinth work ground floor and parking columns have been completed Property is based inside a gated society township with multiple facilities like a pool gym garden club house There are over 350 fully developed and occupied flats available within the community We have not undertaken any bookings yet and it is a fresh project All the amenities are ready with fullydeveloped surroundings The project can be executed within 15 months and construction can start immediately The property is owned by us We are a realestate company The pictures attached on this profile are of other houses within this gated community ,3,others
 I am operating an electrical shop business from the past two years After seeing the demand in solar energy based products in our area I plan to venture into the same I have already tied up with a Solar heater and solar power manufacturer as a distributor ,11,Sustainable Energy
 Founded in January 2012 as proprietorship entity and officially incorporated in India as a private limited firm in June 2015 ARAI Certified AIS 140 Telematics Device Have orders in hand worth INR 3 35 crore Our clientele includes fortune 500 companies like l T GVK EMRI DBScheker etc Developed various inhouse technology solutions and platforms Large number of diversified solutions and services in ready to launch state for retail consumers Founder is a gogetter with high energylevels and a long term vision to succeed having 10 years of development and management experience in IT industry managing infrastructure delivering web and mobile solutions including requirements analysis design coding project management and implementation 11 years experience as an entrepreneur and 15 years experience in Corporate IT career Globally served clients from United States Australia UAE Singapore Malaysia UK and Germany There are about 10 repeat clients Monthly Retention Revenue of more than 8 lacs from local Clients Clients are from industries such as Constructions Retail FMCG Healthcare Technology BFSI etc ,4,others
 Company primarily operates in four distinct product verticals namely a water tanks b pipes fittings c solar mounting structure and d waste collection and other plastic products Our products relating to water tanks waste collection and pipes fittings are marketed under our own brand name which has been in existence in the market since 1990 Company is ISO 9001 2015 ISO 14001 2015 and OHSAS 18001 2007 certified Company and possess Compliance Certificate from UK Certification Inspection Limited to use CE mark on specified products Registered and Corporate Office is located in Delhi and we have three manufacturing facilities located in Sonipat Ahmedabad and Delhi which are obtained by us on rental basis Our strengths include A Wide range of products Our range of products i e water storage tanks pipes waste collection products road safety products and solar mounting structures have wide applications across residential commercial industrial and infrastructure sectors Under plastic segment we manufacture and market a variety of plastic products for our customers for their customized needs We employ rotational moulding blow moulding injection moulding and extrusion processes which enable us to manufacture a wide variety of products by installing the appropriate moulds Our ability to manufacture wide range of customized products facilitates our bids for various Government and private tenders Further it enables us to increase our existing product portfolio For instance we have recently added road safety products such as road barriers traffic cones parking barriers road reflectors speed breakers etc and complex fabricated items such as garbage rickshaws in our portfolio Our marketing team plays an important role in the development of new products based on their study and feedback on latest industrial needs B Diversified client base We serve a diversified client base ranging from B2B B2C to B2G customers We market our water storage tanks through approximately 345 distributors and dealers spread across 10 States and two Union Territories majorly in Haryana Uttar Pradesh and Delhi which make further sales to various retailers subdealers and endusers including plumbers Our list of clientele includes various Municipal Corporations such as South Delhi Municipal Corporation North Delhi Municipal Corporation Municipal Corporation Karnal Agartala Municipal Corporation etc and esteemed Companies such as Adani Enterprises Ltd JTL Infra Limited Ujaas Energy Limited C Experienced promoter supported by dedicated management team Our Promoter Director has been engaged in the business of water tanks pipes and plastic products for last 30 years which gives him an advantage of immense knowledge of the industry high contacts with clients and suppliers and better decision making power He is involved in the day to day business and management of the company We believe that our management team s experience and their understanding of the water tanks pipes and plastic industry will enable us to continue to take advantage of both current and future market opportunities D Certifications and compliance with quality standards Our strength lies in understanding the requirements of the customer and our execution capabilities As a certification of the quality assurance our rotational moulded water storage tank having capacity ranging from 200 ltrs to 10 000 ltrs has been tested as per Bureau of Indian Standards and is accredited by BIS under IS 12701 1996 Further our Company has received ISO 9001 2015 for conformity with quality management system ISO 14001 2015 for conformity with environmental management system and OHSAS 18001 2007 for conformity with Occupational Health Safety Management System from respective certification agencies and possess Compliance Certificate from UK Certification Inspection Ltd to use CE mark on specified products which includes water tanks chemical tanks dustbins wheel barrow PVC pipes etc The main physical assets that the company owns are the equipment and machinery in its manufacturing units We have recently enlarged our scope of activities in the field of Waste Management and have recently obtained tender of INR 9 04 crores from Smart City Limited and INR 18 5 crores from Smart City for construction installation and commissioning of Solid Waste Transfer Stations in Kanpur under Smart City Mission initiated by Government of India Also we were recently awarded a tender of Rs 1 78 crores from for installation of Smart Bin system in certain designated areas ,12,others
 We are a solar plant developer and EPC company We do infrastructure development asset management and operation maintenance activities also Promotors have 15 years of experience in the energy sector ,11,Sustainable Energy
 A company providing endtoend electrical and mechanical engineering services based in Pune that has been operating since 2010 We provide consulting implementation and auditing of electric and mechanic systems of companies and manufacturing units The companies we cater to multinational companies having an electricity use of more than 250 kilowatts Our business helps identify various problems in the systems implement optimum utilization and reduce wastage We help implementation of electric and mechanical systems We purchase equipment and machinery from 20 different manufacturers Our business has completed over 100 pan India projects We have also done projects in China and Bahrain We audit facilities and participate in the execution of the audit recommendations to ensure the end result is achieved Create intelligent electrical documentation for working facilities that help them comply with various electrical safety standards and are upgradable at the click of a button ,7,others
 Increase in levelized cost of energy LCoE due to depleting in solar tariff worldover has created some sense of fear in the minds of solar plant developers For making it commercially competitive the only way forward is to maximize yields and improve their ROI The only way forward for higher yield is to use solar PV tracking technology to harness the sun to its fullest potential The existing tracking systems are single axis tracker SAT and dual axis tracker DAT unfortunately both are not too effective The SAT has shortcomings in design and the DAT is too expensive to be economically viable Critically analysing the market demand we have innovated a new enhanced solar tracking technology which disrupts the existing single axis tracker and is called 2Axis Tracker It overcomes the inherent design disadvantage of the single axis thereby offering a near dual axis tracker performance at the cost equivalent to single axis tracker Key features of our innovation are Rotates solar module in two different directions unlike the SAT The angle of incidence of the sun s irradiation on the module is always close to perpendicular at all times and in all seasons of the year whereas the angle of incidence in a single axis tracker is effective only during the summer The performance recorded is 2x to 3x over SAT at any location on the globe This results in tremendous improvement in the IRR 2Axis Tracker has an ideal design advantage for bifacial solar modules Innovation is the nextgeneration technology which replaces and overcomes existing SAT technology hence rendering it obsolete The design is jointly developed with IIT Delhi and incubating in their premise The design advantage of our tracking system coupled with other technological advancements in modules and inverters has made tracking systems a more lucrative business proposition than the conventional systems earlier According to Fortune Business Insights the global solar tracker market size was USD 9 30 billion in 2019 and is projected to reach USD 22 33 billion in the next 6 years growing at a CAGR of 12 6 Between the next three years global annual solar installations will average 135 gigawatts Meanwhile the global tracker market will see a 45 percent increase in installations from 2020 2025 The promoter of the company has 8 years of rich experience in the solar industry with various verticals in the same domain The company has applied for patents in India EU UK USA Canada but currently our operations are going on in Delhi The patent in USA has also been granted We are also aiming to expand our operations in Toronto Canada We spent that last couple of years in getting the patents registered and R D process Have high growth rate as we focused on customer acquisition this year whereas last year our focus was on getting patented ,11,Sustainable Energy
 Startup Edutech company connecting teachers to students for academic and extracurricular lesson driven learning The operations are carried out as a separate vertical held under a 2yearold private limited IT services and energy solutions company with an annual turnover of INR 2 5 crores We connect freelance teachers who offer realtime personalized lessons to students under the age of 18 The course curriculum is designed by the teachers themselves and the prices are set by them We connect them to students across India through our social marketing efforts and offer them a video conferencing infrastructure to conduct the classes We intend to particularly focus on users from Tier2 and Tier2 cities and towns Charge 20 of the course fee from the teachers as an infrastructure fee The batch size is limited to 5 for students below the age of 12 and 10 to students below the age of 18 At present we offer classes through Facebook and Zoom video conferencing for free in order to assess demand and the feasibility of our business model Have conducted over 80 100 sessions so far and catered to 320 400 students Also intend to partner with schools in Tier2 and Tier3 cities to offer extracurricular courses to their students and over 23 schools have shown serious interest in pursuing a partnership Have already built a functional website but the integration of the video conferencing and payment infrastructure is still pending We currently have 2 fulltime employees and 10 interns working remotely out of Bangalore Post investment the operations of this vertical will be spun off under a newly incorporated legal entity the investor will effectively acquire a stake in the new legal entity All IP assets will be transferred to this new entity Intend to register the business in Goa as the company will be eligible for a tax redemption for 3 consecutive years from the Government of India under the Startup India scheme The operating costs incurred by setting up operations at Goa is expected to be 1 3rd of the cost of running operations from Delhi or Bangalore The promoter team is highly experienced and one of the promoters has served in the Indian Army The other promoters have experience working in senior management roles in several multinational companies and have successfully run and sold a startup before ,9,others
 We operate a hydroponics business in Chișinău Have 11 greenhouses for growing salads and vegetables We are the only business that grows salads vegetables using hydroponics in the area We sell the produce to the local restaurant businesses and customers Directors are moving to another country and are looking to sell the business and the property Property is unique since it is an industrial property with a total area of 40 300 sq mt with free space that can be used for expansion and or to run other businesses at the same time Facility is located downtown and has 11 hydroponics greenhouses a wellfurnished office with water gas electric energy channeling and internet facilities warehouses a logistic center and a parking area for 30 cars ,3,others
 Our company has created a proprietary and patented technological process to convert medical waste horticulture waste plastic diapers sanitary pads and municipal solid waste into RDF or green coal with no landfill smoke or pollution Different products and machinery has been created by our company using our own patented technology The company generates revenue by selling these machinery directly Opportunities to license the technology to large waste management companies can also be considered as a viable option in the future The company has invested INR 4 5 crores in the research and development of the technology and the products The R D commenced in 2017 and the final ready to sell product was built and launched in early 2021 Average selling price of each machinery is INR 50 00 000 Our business has sold 9 machines since the beginning of 2021 which caused a massive surge in revenue this year Our business outsources manufacturing of the machinery 30 percent of the COGS is paid to the manufacturer for each unit We hold no explicit contract with the manufacturer These machines can also be placed in societies army stations university campuses hotels and airports The output from our process can be used as a source of nonrenewable energy This investment is required for producing more machinery in order to meet the rising demand Our business is extremely valuable due to our patented technology steep rise in demand along with massive R D expense to support the premise of our technology ,12,others
 New Delhi based company that produces distributes solar products electric vehicle chargers LED Lighting Major clients are petroleum companies like Indian Oil Corporation Ltd IOCL Bharat Petroleum Corporation Ltd BPCL district and state agencies under the Union Ministry of New and Renewable Energy MNRE Company is an OEM manufacturer of UV disinfectants and solar products for the Indian embassies of the Federal Republic of Germany Our clients have a 90 day payment period We acquire work through tenders and contracts 55 of our revenue comes from the sale of our solar products We have not had a drop in our monthly revenue our reported sales figure includes sales of INR 8 74 crore and other income of INR 0 56 crore The promoter has more than 3 decades of experience in the field of electronics manufacturing ,11,Sustainable Energy
